Organ ID	Male (g)	Female (g)
0	0	0
1	7	5.73
2	7	7.27
3	11.03	4.32
4	28.41	14.29
5	30.73	18.45
6	5.1	4
7	10.01	7.99
8	66.31	8.69
9	0.85	6.06
10	271.93	242.38
11	15.72	43.24
12	83.04	92.64
13	135.26	112.6
14	184.86	111.9
15	33.48	19.89
16	128.03	102.21
17	59.73	52.78
18	37.13	20.55
19	270.8	155.14
20	181.91	91.24
21	22.67	33.59
22	179.74	104.08
23	139.59	72.84
24	47.78	32.5
25	53.06	40.45
26	562.85	403.6
27	451.06	417.09
28	261.68	247.75
29	472.05	225.05
30	25.78	39.51
31	294.09	232.47
32	438.57	174.67
33	80.89	55.43
34	531.35	618.85
35	729.38	586.52
36	78.67	87.65
37	232.56	171.75
38	507.78	270.35
39	76.12	44.94
40	73.9	34.67
41	398.62	259.84
42	681.18	445.07
43	365.16	162.87
44	520.06	258.96
45	221.13	120.45
46	192.21	96.87
47	102.92	70.88
48	73.55	72.81
49	286.58	203.78
50	335.34	252.56
51	186.19	154.62
52	302.07	261.28
53	109.23	0
54	173.51	140.44
55	9.89	1.67
56	56.31	47.41
57	15.96	15.78
58	88.67	313.61
59	5.91	98.51
60	34.73	222.61
61	1450	1300
62	7.5	150.01
63	4.99	100
64	7.5	150.01
65	4.99	100
66	0.19	0.21
67	7.29	7.3
68	0.19	0.19
69	7.33	7.3
70	13.92	10.24
71	54.08	45.75
72	149.99	140
73	250.01	230
74	650	599.99
75	350.02	280.01
76	89.99	90
77	55.02	100.01
78	60	55
79	95	59.99
80	60	55
81	40.01	30.01
82	89.99	90
83	35	50
84	40.01	45.01
85	74.97	79.99
86	29.98	24.99
87	329.98	250
88	510.01	370.01
89	107.12	104.63
90	38.25	37.37
91	7.63	7.48
92	109.92	87.87
93	39.25	31.38
94	7.87	6.28
95	1800.01	1400
96	79.01	59.22
97	477.74	376.78
98	71.54	42.27
99	580.08	471.74
100	2.26	1.34
101	6.4	3.86
102	5.98	2.58
103	104.4	57.66
104	7.83	3.9
105	11.1	9.8
106	1217.81	401.97
107	15006.82	8518.22
108	2750.53	1524.87
109	10024.97	7054.94
110	40.01	34.99
111	0	5.5
112	0	5.5
113	140	120.01
114	0.6	0.6
115	17.01	0
116	1048.51	886.07
117	12370.04	11803.12
118	1643.47	2042.4
119	5396.47	8864.84
120	42.49	34.99
121	42.49	35.01
122	291.34	173.39
123	1465.21	1004.12
124	639.03	469.52
125	1332.43	1074.43
126	36.62	18.63
127	149.99	130
128	50.04	40.01
129	17.48	0
130	17.52	0
131	24.99	19.99
132	19.99	17
133	42.28	41.55
134	3.01	3
135	8.51	7.51
136	7.49	7.49
137	50.01	40
138	200	200
139	0	80.01
140	0.2	0.05
141	154.3	28.42
